id,title,author,pub_date,venue,volume,issue,page,type,publisher
doi:10.1002/cfg.304; local:476780,Development of Computational Tools for the Inference of Protein Interaction Specificity Rules and Functional Annotation Using Structural Information,"Ferrè, Fabrizio; Via, Allegra; Ausiello, Gabriele; Brannetti, Barbara; Zanzoni, Andreas; Helmer-Citterich, Manuela [orcid:0000-0001-9530-7504]",2003,Comparative and Functional Genomics [issn:1531-6912; issn:1532-6268],4,4,416-419,journal-article,Hindawi Limited [crossref:98]
doi:10.1016/s1367-5931(02)00332-0; local:S1367593102003320,In vitro selection as a powerful tool for the applied evolution of proteins and peptides,"Dower, William J; Mattheakis, Larry C",2002,Current Opinion in Chemical Biology [issn:1367-5931],6,3,390-398,journal-article,Elsevier BV [crossref:78]
doi:10.1080/10273660500441324; local:873836,Development of a Species-Specific Model of Cerebral Hemodynamics,"Daun, Silvia; Tjardes, Thorsten [orcid:0000-0002-1952-6219]",2005,Journal of Theoretical Medicine [issn:1027-3662; issn:1607-8578],6,3,181-195,journal-article,Hindawi Limited [crossref:98]
doi:10.1152/jappl.1997.82.4.1256; local:10.1152/jappl.1997.82.4.1256,A simple mathematical model of the interaction between intracranial pressure and cerebral hemodynamics,"Ursino, Mauro; Lodi, Carlo Alberto",1997,Journal of Applied Physiology [issn:8750-7587; issn:1522-1601],82,4,1256-1269,journal-article,American Physiological Society [crossref:24]
doi:10.1161/01.str.20.1.45; local:10.1161/01.STR.20.1.45,Cerebral autoregulation dynamics in humans.,"Aaslid, R; Lindegaard, K F; Sorteberg, W; Nornes, H",1989,Stroke [issn:0039-2499; issn:1524-4628],20,1,45-52,journal-article,Ovid Technologies (Wolters Kluwer Health) [crossref:276]
doi:10.1136/jnnp.29.5.398,Autoregulation of cerebral blood flow: influence of the arterial blood pressure on the blood flow through the cerebral cortex.,"Harper, A M",1966,"Journal of Neurology, Neurosurgery & Psychiatry [issn:0022-3050]",29,5,398-403,journal-article,BMJ [crossref:239]
doi:10.1113/jphysiol.1902.sp000911,On the local reactions of the arterial wall to changes of internal pressure,"Bayliss, W. M.",1902,The Journal of Physiology [issn:0022-3751],28,3,220-231,journal-article,Wiley [crossref:311]
doi:10.1080/10273660412331292260; local:895854,Amplified Molecular Binding of Prion Protein Homologues in Self-Progressive Injury of Neuronal Membranes and Trafficking Systems,"Agius, Lawrence M. [orcid:0000-0002-5487-3849]",2003,Journal of Theoretical Medicine [issn:1027-3662; issn:1607-8578],5,3-4,155-159,journal-article,Hindawi Limited [crossref:98]
doi:10.1006/nbdi.2002.0558; local:S0969-9961(02)90558-9,Astrocytes Accumulate 4-Hydroxynonenal Adducts in Murine Scrapie and Human Creutzfeldt–Jakob Disease,"Andreoletti, O",2002,Neurobiology of Disease [issn:0969-9961],11,3,386-393,journal-article,Elsevier BV [crossref:78]
doi:10.1155/aaa/2006/76582; local:076582; local:76582,Existence of positive solutions for some polyharmonic nonlinear equations inℝn,"Mâagli, Habib [orcid:0000-0002-7977-8039]; Zribi, Malek",2006,Abstract and Applied Analysis [issn:1085-3375; issn:1687-0409],2006,,1-24,journal-article,Hindawi Limited [crossref:98]
